Book open
Book close
Pencil
Pick up
Put down
Raise-hand
Teacher
Student
Discuss / Talk about / Talk
Look / Look at / Watch
Stand
Get up / Stand up
Board
Write on (board on wall)
Copy from the board
Sit / Sit down / Take a seat
Word
Next page / Turn the page
Go to page / Page
Look it up
Definition
Read
Translate / Translation
Answer / Reply / Response
Check
Copy / Copy to / Copy from
Picture
Draw
Discuss / Talk about / Talk
Problem
Brainstorm
Solutions / Solve
Answers
Work
Group
Help / I help you / You help me
Classmate / Peer
Ask
Answer / Reply / Response
Question
Share
Book
Dictate
Sentence
